genome_id	genus	species	accession	assembly_level	fasta_path
G1	Escherichia	coli	GCF_000005845.2	Complete Genome	data/raw_genomes/GCF_000005845.2_ASM584v2_genomic.fna.gz
G2	Pseudomonas	aeruginosa	GCF_000006765.1	Complete Genome	data/raw_genomes/GCF_000006765.1_ASM676v1_genomic.fna.gz
G3	Salmonella	enterica	GCF_000006945.2	Complete Genome	data/raw_genomes/GCF_000006945.2_ASM694v2_genomic.fna.gz
G4	Pseudomonas	syringae	GCF_000007805.1	Complete Genome	data/raw_genomes/GCF_000007805.1_ASM780v1_genomic.fna.gz
G5	Escherichia	coli	GCF_000008865.2	Complete Genome	data/raw_genomes/GCF_000008865.2_ASM886v2_genomic.fna.gz
G6	Staphylococcus	saprophyticus	GCF_000010125.1	Complete Genome	data/raw_genomes/GCF_000010125.1_ASM1012v1_genomic.fna.gz
G7	Staphylococcus	aureus	GCF_000013425.1	Complete Genome	data/raw_genomes/GCF_000013425.1_ASM1342v1_genomic.fna.gz
G8	Pseudomonas	entomophila	GCF_000026105.1	Complete Genome	data/raw_genomes/GCF_000026105.1_ASM2610v1_genomic.fna.gz
G9	Streptococcus	suis	GCF_000026745.1	Complete Genome	data/raw_genomes/GCF_000026745.1_ASM2674v1_genomic.fna.gz
G10	Listeria	seeligeri	GCF_000027145.1	Complete Genome	data/raw_genomes/GCF_000027145.1_ASM2714v1_genomic.fna.gz
G11	Acinetobacter	baylyi	GCF_000046845.1	Complete Genome	data/raw_genomes/GCF_000046845.1_ASM4684v1_genomic.fna.gz
G12	Pseudomonas	amygdali	GCF_000145945.2	Complete Genome	data/raw_genomes/GCF_000145945.2_ASM14594v2_genomic.fna.gz
G13	Pseudomonas	coronafaciens	GCF_000156995.2	Complete Genome	data/raw_genomes/GCF_000156995.2_ASM15699v2_genomic.fna.gz
G14	Mycobacterium	kansasii	GCF_000157895.3	Complete Genome	data/raw_genomes/GCF_000157895.3_ASM15789v2_genomic.fna.gz
G15	Streptococcus	parasanguinis	GCF_000164675.2	Complete Genome	data/raw_genomes/GCF_000164675.2_ASM16467v2_genomic.fna.gz
G16	Streptococcus	parauberis	GCF_000187935.1	Complete Genome	data/raw_genomes/GCF_000187935.1_ASM18793v2_genomic.fna.gz
G17	Acinetobacter	pittii	GCF_000191145.1	Complete Genome	data/raw_genomes/GCF_000191145.1_ASM19114v1_genomic.fna.gz
G18	Mycobacterium	tuberculosis	GCF_000195955.2	Complete Genome	data/raw_genomes/GCF_000195955.2_ASM19595v2_genomic.fna.gz
G19	Listeria	monocytogenes	GCF_000196035.1	Complete Genome	data/raw_genomes/GCF_000196035.1_ASM19603v1_genomic.fna.gz
G20	Acinetobacter	oleivorans	GCF_000196795.1	Complete Genome	data/raw_genomes/GCF_000196795.1_ASM19679v1_genomic.fna.gz
G21	Streptococcus	pseudopneumoniae	GCF_000221985.1	Complete Genome	data/raw_genomes/GCF_000221985.1_ASM22198v1_genomic.fna.gz
G22	Staphylococcus	argenteus	GCF_000236925.1	Complete Genome	data/raw_genomes/GCF_000236925.1_ASM23692v1_genomic.fna.gz
G23	Klebsiella	pneumoniae	GCF_000240185.1	Complete Genome	data/raw_genomes/GCF_000240185.1_ASM24018v2_genomic.fna.gz
G24	Salmonella	bongori	GCF_000252995.1	Complete Genome	data/raw_genomes/GCF_000252995.1_ASM25299v1_genomic.fna.gz
G25	Streptococcus	salivarius	GCF_000253315.1	Complete Genome	data/raw_genomes/GCF_000253315.1_ASM25331v1_genomic.fna.gz
G26	Mycobacterium	canettii	GCF_000253375.1	Complete Genome	data/raw_genomes/GCF_000253375.1_ASM25337v1_genomic.fna.gz
G27	Mycobacterium	paraintracellulare	GCF_000276825.1	Complete Genome	data/raw_genomes/GCF_000276825.1_ASM27682v1_genomic.fna.gz
G28	Mycobacterium	intracellulare	GCF_000277125.1	Complete Genome	data/raw_genomes/GCF_000277125.1_ASM27712v1_genomic.fna.gz
G29	Pseudomonas	poae	GCF_000336465.1	Complete Genome	data/raw_genomes/GCF_000336465.1_ASM33646v1_genomic.fna.gz
