genome_id	genus	species	split
G1	Streptococcus	parasanguinis	test_heldout
G2	Streptococcus	parasanguinis	train_ref
G3	Streptococcus	parasanguinis	train_ref
G4	Streptococcus	parasanguinis	train_ref
G5	Streptococcus	parasanguinis	train_ref
G6	Acinetobacter	baumannii	train_ref
G7	Streptococcus	pyogenes	train_ref
G8	Streptococcus	pyogenes	train_ref
G9	Streptococcus	pyogenes	train_ref
G10	Streptococcus	pyogenes	test_heldout
G11	Streptococcus	pyogenes	train_ref
G12	Streptococcus	pyogenes	train_ref
G13	Streptococcus	pyogenes	train_ref
G14	Streptococcus	pyogenes	train_ref
G15	Streptococcus	pyogenes	test_heldout
G16	Streptococcus	pyogenes	train_ref
G17	Streptococcus	pyogenes	test_heldout
G18	Streptococcus	pyogenes	test_heldout
G19	Streptococcus	pyogenes	train_ref
G20	Streptococcus	pyogenes	train_ref
G21	Streptococcus	pneumoniae	train_ref
G22	Streptococcus	pneumoniae	train_ref
G23	Streptococcus	pneumoniae	test_heldout
G24	Streptococcus	pneumoniae	test_heldout
G25	Streptococcus	pneumoniae	test_heldout
G26	Streptococcus	pneumoniae	test_heldout
G27	Streptococcus	pneumoniae	train_ref
G28	Streptococcus	pneumoniae	train_ref
G29	Streptococcus	pneumoniae	train_ref
G30	Salmonella	enterica	train_ref
G31	Listeria	monocytogenes	train_ref
G32	Salmonella	enterica	test_heldout
G33	Salmonella	enterica	train_ref
G34	Salmonella	enterica	train_ref
G35	Salmonella	enterica	train_ref
G36	Salmonella	enterica	train_ref
G37	Listeria	monocytogenes	test_heldout
G38	Mycobacterium	tuberculosis	train_ref
G39	Mycobacterium	tuberculosis	train_ref
G40	Mycobacterium	tuberculosis	test_heldout
G41	Acinetobacter	baumannii	train_ref
G42	Acinetobacter	baumannii	test_heldout
G43	Acinetobacter	baumannii	test_heldout
G44	Acinetobacter	baumannii	train_ref
G45	Acinetobacter	baumannii	train_ref
G46	Acinetobacter	baumannii	train_ref
G47	Acinetobacter	baumannii	train_ref
G48	Acinetobacter	baumannii	train_ref
G49	Acinetobacter	baumannii	train_ref
G50	Acinetobacter	baumannii	train_ref
G51	Listeria	monocytogenes	train_ref
G52	Streptococcus	pyogenes	train_ref
G53	Streptococcus	pneumoniae	train_ref
G54	Streptococcus	pneumoniae	train_ref
G55	Acinetobacter	baumannii	test_heldout
G56	Streptococcus	pneumoniae	train_ref
G57	Acinetobacter	baumannii	train_ref
G58	Streptococcus	pneumoniae	train_ref
G59	Streptococcus	pneumoniae	train_ref
G60	Streptococcus	pneumoniae	train_ref
G61	Pseudomonas	aeruginosa	test_heldout
G62	Acinetobacter	baumannii	train_ref
G63	Salmonella	enterica	test_heldout
G64	Pseudomonas	aeruginosa	train_ref
G65	Salmonella	enterica	train_ref
G66	Salmonella	enterica	test_heldout
G67	Salmonella	enterica	train_ref
G68	Staphylococcus	aureus	train_ref
G69	Salmonella	enterica	train_ref
G70	Staphylococcus	aureus	train_ref
G71	Salmonella	enterica	train_ref
G72	Staphylococcus	aureus	test_heldout
G73	Salmonella	enterica	train_ref
G74	Staphylococcus	aureus	train_ref
G75	Salmonella	enterica	test_heldout
G76	Staphylococcus	aureus	train_ref
G77	Salmonella	enterica	train_ref
G78	Staphylococcus	aureus	train_ref
G79	Staphylococcus	aureus	test_heldout
G80	Staphylococcus	aureus	test_heldout
G81	Staphylococcus	aureus	train_ref
G82	Staphylococcus	aureus	train_ref
G83	Staphylococcus	aureus	test_heldout
G84	Staphylococcus	aureus	train_ref
G85	Staphylococcus	aureus	train_ref
G86	Staphylococcus	aureus	train_ref
G87	Pseudomonas	aeruginosa	train_ref
G88	Pseudomonas	aeruginosa	train_ref
G89	Pseudomonas	aeruginosa	train_ref
G90	Pseudomonas	aeruginosa	train_ref
G91	Pseudomonas	aeruginosa	train_ref
G92	Pseudomonas	aeruginosa	train_ref
G93	Pseudomonas	aeruginosa	train_ref
G94	Pseudomonas	aeruginosa	train_ref
G95	Pseudomonas	aeruginosa	train_ref
G96	Acinetobacter	baumannii	test_heldout
G97	Escherichia	coli	train_ref
G98	Escherichia	coli	test_heldout
