read_id	kraken_status	kraken_genus	kraken_species	true_genus	true_species	predicted_genus	predicted_species	is_correct_genus	score	margin	top_hit_genera	top_hit_genera_with_scores
NZ_OZ347304.1-85269	U	-	-	Mycobacterium	tuberculosis	Streptococcus	pneumoniae	False	3.686065	0.8724	Pseudomonas; Streptococcus; Salmonella; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus	Pseudomonas:0.4703 | Streptococcus:0.4648 | Salmonella:0.4627 | Streptococcus:0.4612 | Streptococcus:0.461 | Streptococcus:0.4605 | Streptococcus:0.4598 | Streptococcus:0.4596 | Streptococcus:0.4595 | Streptococcus:0.4595
NZ_CP200027.1-142127	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.22432	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.7224 | Mycobacterium:0.7224 | Mycobacterium:0.7224 | Mycobacterium:0.7224 | Mycobacterium:0.7224 | Mycobacterium:0.7224 | Mycobacterium:0.7224 | Mycobacterium:0.7224 | Mycobacterium:0.7224 | Mycobacterium:0.7224
NZ_CP200027.1-258385	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.51506	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.7515 | Mycobacterium:0.7515 | Mycobacterium:0.7515 | Mycobacterium:0.7515 | Mycobacterium:0.7515 | Mycobacterium:0.7515 | Mycobacterium:0.7515 | Mycobacterium:0.7515 | Mycobacterium:0.7515 | Mycobacterium:0.7515
NZ_CP200027.1-4733	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.946407	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.8026 | Mycobacterium:0.8002 | Mycobacterium:0.8002 | Mycobacterium:0.7959 | Mycobacterium:0.7959 | Mycobacterium:0.7916 | Mycobacterium:0.7909 | Mycobacterium:0.7907 | Mycobacterium:0.7903 | Mycobacterium:0.788
NZ_OZ347304.1-121991	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.94952	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.795 | Mycobacterium:0.795 | Mycobacterium:0.795 | Mycobacterium:0.795 | Mycobacterium:0.795 | Mycobacterium:0.795 | Mycobacterium:0.795 | Mycobacterium:0.795 | Mycobacterium:0.795 | Mycobacterium:0.795
NZ_OZ347304.1-22666	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.906823	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.7935 | Mycobacterium:0.7914 | Mycobacterium:0.791 | Mycobacterium:0.791 | Mycobacterium:0.7904 | Mycobacterium:0.79 | Mycobacterium:0.79 | Mycobacterium:0.79 | Mycobacterium:0.79 | Mycobacterium:0.7896
NZ_OZ347304.1-259918	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.37712	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.7377 | Mycobacterium:0.7377 | Mycobacterium:0.7377 | Mycobacterium:0.7377 | Mycobacterium:0.7377 | Mycobacterium:0.7377 | Mycobacterium:0.7377 | Mycobacterium:0.7377 | Mycobacterium:0.7377 | Mycobacterium:0.7377
NZ_OZ347304.1-264466	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.57885	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.7579 | Mycobacterium:0.7579 | Mycobacterium:0.7579 | Mycobacterium:0.7579 | Mycobacterium:0.7579 | Mycobacterium:0.7579 | Mycobacterium:0.7579 | Mycobacterium:0.7579 | Mycobacterium:0.7579 | Mycobacterium:0.7579
NZ_OZ347304.1-274436	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.04594	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.7046 | Mycobacterium:0.7046 | Mycobacterium:0.7046 | Mycobacterium:0.7046 | Mycobacterium:0.7046 | Mycobacterium:0.7046 | Mycobacterium:0.7046 | Mycobacterium:0.7046 | Mycobacterium:0.7046 | Mycobacterium:0.7046
NZ_OZ347304.1-40951	U	-	-	Mycobacterium	tuberculosis	Mycobacterium	tuberculosis	True	7.468166	1.0	Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium; Mycobacterium	Mycobacterium:0.7597 | Mycobacterium:0.7494 | Mycobacterium:0.7494 | Mycobacterium:0.7443 | Mycobacterium:0.7443 | Mycobacterium:0.7443 | Mycobacterium:0.7442 | Mycobacterium:0.7442 | Mycobacterium:0.7442 | Mycobacterium:0.7442
