read_id	kraken_status	kraken_genus	kraken_species	true_genus	true_species	predicted_genus	predicted_species	is_correct_genus	score	margin	top_hit_genera	top_hit_genera_with_scores
NZ_CP115515.1-2189	U	-	-	Streptococcus	pyogenes	Acinetobacter	baumannii	False	2.42631	0.0089	Acinetobacter; Acinetobacter; Acinetobacter; Acinetobacter; Streptococcus; Staphylococcus; Klebsiella; Streptococcus; Streptococcus; Streptococcus	Acinetobacter:0.6104 | Acinetobacter:0.6104 | Acinetobacter:0.6029 | Acinetobacter:0.6025 | Streptococcus:0.6021 | Staphylococcus:0.602 | Klebsiella:0.6019 | Streptococcus:0.6013 | Streptococcus:0.6006 | Streptococcus:0.6006
NZ_CP115515.1-86277	U	-	-	Streptococcus	pyogenes	Listeria	monocytogenes	False	2.468795	0.5959	Streptococcus; Acinetobacter; Streptococcus; Staphylococcus; Acinetobacter; Listeria; Listeria; Listeria; Listeria; Listeria	Streptococcus:0.4998 | Acinetobacter:0.499 | Streptococcus:0.4979 | Staphylococcus:0.4976 | Acinetobacter:0.494 | Listeria:0.4938 | Listeria:0.4938 | Listeria:0.4938 | Listeria:0.4938 | Listeria:0.4938
NZ_CP149549.1-142499	U	-	-	Escherichia	coli	Salmonella	enterica	False	1.387352	0.0007	Streptococcus; Salmonella; Salmonella; Escherichia; Pseudomonas; Mycobacterium; Streptococcus; Streptococcus; Salmonella; Mycobacterium	Streptococcus:0.4666 | Salmonella:0.4648 | Salmonella:0.4638 | Escherichia:0.463 | Pseudomonas:0.4621 | Mycobacterium:0.4605 | Streptococcus:0.4599 | Streptococcus:0.4599 | Salmonella:0.4588 | Mycobacterium:0.4585
NZ_CP174491.1-251791	U	-	-	Salmonella	enterica	Listeria	monocytogenes	False	4.975056	0.8896	Listeria; Listeria; Listeria; Listeria; Listeria; Listeria; Staphylococcus; Listeria; Listeria; Listeria	Listeria:0.5554 | Listeria:0.5554 | Listeria:0.5554 | Listeria:0.5554 | Listeria:0.5554 | Listeria:0.5527 | Staphylococcus:0.5491 | Listeria:0.5485 | Listeria:0.5485 | Listeria:0.5485
NZ_CP182673.1-252674	U	-	-	Klebsiella	pneumoniae	Listeria	monocytogenes	False	4.344391	0.5655	Streptococcus; Streptococcus; Streptococcus; Listeria; Listeria; Listeria; Listeria; Listeria; Listeria; Listeria	Streptococcus:0.6293 | Streptococcus:0.6293 | Streptococcus:0.6293 | Listeria:0.6214 | Listeria:0.6207 | Listeria:0.6205 | Listeria:0.6204 | Listeria:0.6204 | Listeria:0.6204 | Listeria:0.6204
NZ_CP182680.1-4213	U	-	-	Klebsiella	pneumoniae	Listeria	monocytogenes	False	2.973332	0.6637	Streptococcus; Staphylococcus; Streptococcus; Listeria; Listeria; Listeria; Listeria; Listeria; Staphylococcus; Listeria	Streptococcus:0.5035 | Staphylococcus:0.4995 | Streptococcus:0.4964 | Listeria:0.4959 | Listeria:0.4959 | Listeria:0.4959 | Listeria:0.4959 | Listeria:0.4959 | Staphylococcus:0.4944 | Listeria:0.494
NZ_LC846568.1-14425	U	-	-	Escherichia	coli	Staphylococcus	aureus	False	2.865476	0.6661	Staphylococcus; Staphylococcus; Escherichia; Listeria; Acinetobacter; Listeria; Staphylococcus; Staphylococcus; Staphylococcus; Staphylococcus	Staphylococcus:0.4807 | Staphylococcus:0.4807 | Escherichia:0.4803 | Listeria:0.4796 | Acinetobacter:0.4774 | Listeria:0.4772 | Staphylococcus:0.476 | Staphylococcus:0.476 | Staphylococcus:0.476 | Staphylococcus:0.476
NZ_LC846568.1-8100	U	-	-	Escherichia	coli	Listeria	monocytogenes	False	2.760075	0.2091	Listeria; Listeria; Listeria; Listeria; Listeria; Staphylococcus; Acinetobacter; Acinetobacter; Acinetobacter; Acinetobacter	Listeria:0.552 | Listeria:0.552 | Listeria:0.552 | Listeria:0.552 | Listeria:0.552 | Staphylococcus:0.5506 | Acinetobacter:0.5471 | Acinetobacter:0.5455 | Acinetobacter:0.5452 | Acinetobacter:0.5452
NZ_CP115515.1-94910	U	-	-	Streptococcus	pyogenes	Streptococcus	pyogenes	True	3.957306	0.8769	Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Acinetobacter; Streptococcus; Klebsiella; Streptococcus	Streptococcus:0.5164 | Streptococcus:0.4975 | Streptococcus:0.497 | Streptococcus:0.4931 | Streptococcus:0.4921 | Streptococcus:0.4899 | Acinetobacter:0.4871 | Streptococcus:0.4868 | Klebsiella:0.4858 | Streptococcus:0.4845
NZ_CP115523.1-12305	U	-	-	Streptococcus	pyogenes	Streptococcus	pyogenes	True	4.611885	0.8913	Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Staphylococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus	Streptococcus:0.5299 | Streptococcus:0.5285 | Streptococcus:0.5232 | Streptococcus:0.5232 | Streptococcus:0.5198 | Staphylococcus:0.5012 | Streptococcus:0.4994 | Streptococcus:0.4961 | Streptococcus:0.4961 | Streptococcus:0.4957
