read_id	kraken_status	kraken_genus	kraken_species	true_genus	true_species	predicted_genus	predicted_species	is_correct_genus	score	margin	top_hit_genera	top_hit_genera_with_scores
NZ_AP040262.1-115221	U	-	-	Salmonella	enterica	Pseudomonas	aeruginosa	False	3.453927	0.5691	Klebsiella; Pseudomonas; Pseudomonas; Pseudomonas; Pseudomonas; Pseudomonas; Pseudomonas; Pseudomonas; Klebsiella; Klebsiella	Klebsiella:0.5087 | Pseudomonas:0.4966 | Pseudomonas:0.495 | Pseudomonas:0.4932 | Pseudomonas:0.4928 | Pseudomonas:0.4928 | Pseudomonas:0.4928 | Pseudomonas:0.4905 | Klebsiella:0.4901 | Klebsiella:0.4895
NZ_AP040262.1-209892	U	-	-	Salmonella	enterica	Klebsiella	pneumoniae	False	2.496872	0.3961	Salmonella; Salmonella; Escherichia; Klebsiella; Klebsiella; Klebsiella; Salmonella; Klebsiella; Escherichia; Klebsiella	Salmonella:0.5049 | Salmonella:0.5033 | Escherichia:0.5026 | Klebsiella:0.5009 | Klebsiella:0.5007 | Klebsiella:0.4997 | Salmonella:0.4996 | Klebsiella:0.4985 | Escherichia:0.4983 | Klebsiella:0.4971
NZ_AP040262.1-319089	U	-	-	Salmonella	enterica	Streptococcus		False	3.497762	0.6676	Streptococcus; Streptococcus; Streptococcus; Acinetobacter; Streptococcus; Salmonella; Escherichia; Acinetobacter; Streptococcus; Streptococcus	Streptococcus:0.5909 | Streptococcus:0.5847 | Streptococcus:0.5847 | Acinetobacter:0.5837 | Streptococcus:0.5819 | Salmonella:0.5809 | Escherichia:0.5808 | Acinetobacter:0.5788 | Streptococcus:0.5779 | Streptococcus:0.5776
NZ_AP040266.1-161846	U	-	-	Salmonella	enterica	Pseudomonas	aeruginosa	False	3.027552	0.5015	Pseudomonas; Pseudomonas; Klebsiella; Pseudomonas; Escherichia; Pseudomonas; Pseudomonas; Klebsiella; Pseudomonas; Klebsiella	Pseudomonas:0.5095 | Pseudomonas:0.5068 | Klebsiella:0.5063 | Pseudomonas:0.504 | Escherichia:0.5037 | Pseudomonas:0.5034 | Pseudomonas:0.5022 | Klebsiella:0.5018 | Pseudomonas:0.5017 | Klebsiella:0.5011
NZ_AP040266.1-175201	U	-	-	Salmonella	enterica	Streptococcus		False	1.800818	0.2351	Acinetobacter; Staphylococcus; Streptococcus; Streptococcus; Streptococcus; Escherichia; Acinetobacter; Streptococcus; Staphylococcus; Acinetobacter	Acinetobacter:0.4793 | Staphylococcus:0.453 | Streptococcus:0.4505 | Streptococcus:0.4505 | Streptococcus:0.4504 | Escherichia:0.4503 | Acinetobacter:0.4497 | Streptococcus:0.4494 | Staphylococcus:0.4494 | Acinetobacter:0.4484
NZ_AP040266.1-18690	U	-	-	Salmonella	enterica	Escherichia	coli	False	2.244731	0.2008	Escherichia; Salmonella; Escherichia; Escherichia; Salmonella; Listeria; Salmonella; Salmonella; Escherichia; Escherichia	Escherichia:0.4532 | Salmonella:0.4528 | Escherichia:0.4512 | Escherichia:0.4497 | Salmonella:0.4477 | Listeria:0.4477 | Salmonella:0.4475 | Salmonella:0.446 | Escherichia:0.4457 | Escherichia:0.4449
NZ_AP040266.1-198549	U	-	-	Salmonella	enterica	Listeria	monocytogenes	False	1.369584	0.0027	Listeria; Staphylococcus; Escherichia; Salmonella; Staphylococcus; Listeria; Escherichia; Escherichia; Listeria; Klebsiella	Listeria:0.4627 | Staphylococcus:0.4621 | Escherichia:0.4586 | Salmonella:0.4577 | Staphylococcus:0.4572 | Listeria:0.454 | Escherichia:0.4537 | Escherichia:0.4537 | Listeria:0.4528 | Klebsiella:0.4527
NZ_AP040266.1-240988	U	-	-	Salmonella	enterica	Klebsiella	pneumoniae	False	2.547307	0.6017	Klebsiella; Pseudomonas; Klebsiella; Klebsiella; Escherichia; Klebsiella; Klebsiella; Pseudomonas; Salmonella; Escherichia	Klebsiella:0.5176 | Pseudomonas:0.5095 | Klebsiella:0.5095 | Klebsiella:0.5091 | Escherichia:0.5084 | Klebsiella:0.5056 | Klebsiella:0.5055 | Pseudomonas:0.5051 | Salmonella:0.5046 | Escherichia:0.5041
NZ_AP040266.1-252444	U	-	-	Salmonella	enterica	Staphylococcus	aureus	False	2.906161	0.3389	Staphylococcus; Staphylococcus; Staphylococcus; Streptococcus; Streptococcus; Staphylococcus; Staphylococcus; Streptococcus; Staphylococcus; Streptococcus	Staphylococcus:0.4905 | Staphylococcus:0.4905 | Staphylococcus:0.4891 | Streptococcus:0.4859 | Streptococcus:0.4816 | Staphylococcus:0.4799 | Staphylococcus:0.4794 | Streptococcus:0.4773 | Staphylococcus:0.4767 | Streptococcus:0.4763
NZ_AP040266.1-295261	U	-	-	Salmonella	enterica	Mycobacterium	tuberculosis	False	2.467364	0.6017	Pseudomonas; Mycobacterium; Mycobacterium; Klebsiella; Mycobacterium; Salmonella; Mycobacterium; Mycobacterium; Klebsiella; Escherichia	Pseudomonas:0.4969 | Mycobacterium:0.4965 | Mycobacterium:0.4965 | Klebsiella:0.4951 | Mycobacterium:0.495 | Salmonella:0.4912 | Mycobacterium:0.4908 | Mycobacterium:0.4886 | Klebsiella:0.4876 | Escherichia:0.4875
NZ_AP040266.1-48661	U	-	-	Salmonella	enterica	Streptococcus		False	4.363144	0.8879	Streptococcus; Streptococcus; Listeria; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus	Streptococcus:0.4952 | Streptococcus:0.4912 | Listeria:0.489 | Streptococcus:0.487 | Streptococcus:0.4842 | Streptococcus:0.4831 | Streptococcus:0.4817 | Streptococcus:0.4812 | Streptococcus:0.4805 | Streptococcus:0.479
NZ_AP040266.1-76757	U	-	-	Salmonella	enterica	Listeria	monocytogenes	False	2.422033	0.6036	Acinetobacter; Listeria; Listeria; Listeria; Listeria; Listeria; Salmonella; Escherichia; Streptococcus; Streptococcus	Acinetobacter:0.49 | Listeria:0.4887 | Listeria:0.4887 | Listeria:0.4823 | Listeria:0.4811 | Listeria:0.4811 | Salmonella:0.481 | Escherichia:0.4805 | Streptococcus:0.4805 | Streptococcus:0.4795
NZ_AP040266.1-92744	U	-	-	Salmonella	enterica	Streptococcus	pneumoniae	False	2.609535	0.2062	Streptococcus; Streptococcus; Streptococcus; Acinetobacter; Streptococcus; Streptococcus; Acinetobacter; Acinetobacter; Acinetobacter; Listeria	Streptococcus:0.5315 | Streptococcus:0.521 | Streptococcus:0.52 | Acinetobacter:0.5197 | Streptococcus:0.5187 | Streptococcus:0.5184 | Acinetobacter:0.5175 | Acinetobacter:0.5171 | Acinetobacter:0.5171 | Listeria:0.5168
