true_genus	predicted_genus	count
Acinetobacter	Streptococcus	11739
Acinetobacter	Staphylococcus	11601
Acinetobacter	Acinetobacter	9099
Acinetobacter	Listeria	3492
Acinetobacter	Escherichia	466
Acinetobacter	Salmonella	210
Acinetobacter	Klebsiella	112
Acinetobacter	Mycobacterium	27
Acinetobacter	Pseudomonas	22
Escherichia	Escherichia	30246
Escherichia	Streptococcus	29616
Escherichia	Staphylococcus	20578
Escherichia	Klebsiella	13565
Escherichia	Acinetobacter	12906
Escherichia	Listeria	11842
Escherichia	Salmonella	10827
Escherichia	Pseudomonas	7384
Escherichia	Mycobacterium	4015
Klebsiella	Klebsiella	607809
Klebsiella	Pseudomonas	284238
Klebsiella	Mycobacterium	72016
Klebsiella	Streptococcus	47001
Klebsiella	Salmonella	38727
Klebsiella	Staphylococcus	33927
Klebsiella	Escherichia	31308
Klebsiella	Listeria	23518
Klebsiella	Acinetobacter	22741
Listeria	Staphylococcus	8447
Listeria	Streptococcus	7808
Listeria	Listeria	6097
Listeria	Acinetobacter	3495
Listeria	Escherichia	238
Listeria	Salmonella	137
Listeria	Klebsiella	90
Listeria	Mycobacterium	43
Listeria	Pseudomonas	32
Mycobacterium	Mycobacterium	12269
Mycobacterium	Pseudomonas	26
Mycobacterium	Streptococcus	16
Mycobacterium	Staphylococcus	3
Mycobacterium	Acinetobacter	2
Mycobacterium	Klebsiella	2
Mycobacterium	Salmonella	2
Mycobacterium	Escherichia	1
Pseudomonas	Pseudomonas	22560
Pseudomonas	Streptococcus	6149
Pseudomonas	Mycobacterium	5420
Pseudomonas	Klebsiella	4457
Pseudomonas	Escherichia	3321
Pseudomonas	Salmonella	2475
Pseudomonas	Listeria	1841
Pseudomonas	Acinetobacter	1422
Pseudomonas	Staphylococcus	1398
Salmonella	Streptococcus	3637
Salmonella	Escherichia	2499
Salmonella	Klebsiella	2212
Salmonella	Staphylococcus	2086
Salmonella	Salmonella	2042
Salmonella	Listeria	1470
Salmonella	Acinetobacter	1371
Salmonella	Pseudomonas	1349
Salmonella	Mycobacterium	597
Staphylococcus	Staphylococcus	4330
Staphylococcus	Acinetobacter	1988
Staphylococcus	Streptococcus	1748
Staphylococcus	Listeria	532
Staphylococcus	Escherichia	9
Staphylococcus	Salmonella	8
Staphylococcus	Klebsiella	3
Streptococcus	Streptococcus	334072
Streptococcus	Staphylococcus	49878
Streptococcus	Listeria	26789
Streptococcus	Acinetobacter	22518
Streptococcus	Escherichia	743
Streptococcus	Salmonella	452
Streptococcus	Klebsiella	316
Streptococcus	Pseudomonas	102
Streptococcus	Mycobacterium	57
