true_genus	hit_genus	hit_count	total_hit_rows	fraction_of_hits
Acinetobacter	Streptococcus	107339	367680	0.2919359225413403
Acinetobacter	Staphylococcus	104871	367680	0.2852235639686684
Acinetobacter	Acinetobacter	92426	367680	0.25137619669277633
Acinetobacter	Listeria	40959	367680	0.11139849869451697
Acinetobacter	Escherichia	9140	367680	0.0248585726718886
Acinetobacter	Salmonella	7688	367680	0.020909486510008703
Acinetobacter	Klebsiella	4062	367680	0.011047650130548302
Acinetobacter	Pseudomonas	868	367680	0.0023607484769364666
Acinetobacter	Mycobacterium	327	367680	0.0008893603133159269
Escherichia	Escherichia	259567	1409790	0.1841174926762142
Escherichia	Streptococcus	255499	1409790	0.1812319565325332
Escherichia	Staphylococcus	189362	1409790	0.13431929578164123
Escherichia	Klebsiella	156296	1409790	0.1108647387199512
Escherichia	Acinetobacter	151735	1409790	0.10762950510359699
Escherichia	Salmonella	148529	1409790	0.10535540754296739
Escherichia	Listeria	121644	1409790	0.08628519141148681
Escherichia	Pseudomonas	82085	1409790	0.05822498386284482
Escherichia	Mycobacterium	45073	1409790	0.03197142836876414
Klebsiella	Klebsiella	4903778	11612850	0.42227170763421557
Klebsiella	Pseudomonas	2965205	11612850	0.255338267522615
Klebsiella	Mycobacterium	964870	11612850	0.08308640859048382
Klebsiella	Salmonella	846584	11612850	0.07290062301674438
Klebsiella	Escherichia	605918	11612850	0.052176511364565976
Klebsiella	Streptococcus	454866	11612850	0.03916919619214922
Klebsiella	Staphylococcus	331514	11612850	0.028547169730083484
Klebsiella	Acinetobacter	290287	11612850	0.02499705068092673
Klebsiella	Listeria	249828	11612850	0.021513065268215812
Listeria	Staphylococcus	77468	263870	0.2935839617993709
Listeria	Streptococcus	74052	263870	0.28063819304960774
Listeria	Listeria	55970	263870	0.21211202486072686
Listeria	Acinetobacter	42355	263870	0.16051464736423238
Listeria	Escherichia	5365	263870	0.020331981657634442
Listeria	Salmonella	4804	263870	0.01820593474059196
Listeria	Klebsiella	2681	263870	0.010160306211391973
Listeria	Pseudomonas	785	263870	0.0029749497858794103
Listeria	Mycobacterium	390	263870	0.001478000530564293
Mycobacterium	Mycobacterium	122446	123210	0.9937992046100155
Mycobacterium	Pseudomonas	526	123210	0.004269133998863728
Mycobacterium	Streptococcus	112	123210	0.0009090171252333414
Mycobacterium	Salmonella	27	123210	0.0002191380569758948
Mycobacterium	Escherichia	23	123210	0.00018667315964613262
Mycobacterium	Acinetobacter	21	123210	0.00017044071098125152
Mycobacterium	Staphylococcus	19	123210	0.00015420826231637042
Mycobacterium	Klebsiella	18	123210	0.00014609203798392987
Mycobacterium	Listeria	18	123210	0.00014609203798392987
Pseudomonas	Pseudomonas	196069	490430	0.39978998022143836
Pseudomonas	Mycobacterium	63909	490430	0.13031217503007564
Pseudomonas	Klebsiella	56817	490430	0.1158513957139653
Pseudomonas	Streptococcus	48449	490430	0.09878881797606183
Pseudomonas	Escherichia	37196	490430	0.07584364741145526
Pseudomonas	Salmonella	34473	490430	0.07029137695491712
Pseudomonas	Acinetobacter	18784	490430	0.03830108272332443
Pseudomonas	Listeria	18636	490430	0.03799930673082805
Pseudomonas	Staphylococcus	16097	490430	0.032822217237934055
Salmonella	Streptococcus	30555	172630	0.17699704570468633
Salmonella	Escherichia	24074	172630	0.13945432427735618
Salmonella	Klebsiella	23412	172630	0.13561953310548572
Salmonella	Salmonella	22302	172630	0.12918959624630713
Salmonella	Staphylococcus	19805	172630	0.11472513468110988
Salmonella	Acinetobacter	16775	172630	0.09717314487632508
Salmonella	Listeria	14951	172630	0.08660719457799919
Salmonella	Pseudomonas	14115	172630	0.08176446735793315
Salmonella	Mycobacterium	6641	172630	0.03846955917279731
Staphylococcus	Staphylococcus	35993	86180	0.4176491065212346
Staphylococcus	Acinetobacter	20835	86180	0.2417614295660246
Staphylococcus	Streptococcus	19437	86180	0.22553956834532374
Staphylococcus	Listeria	7288	86180	0.08456718496170805
Staphylococcus	Salmonella	1127	86180	0.013077280111394755
Staphylococcus	Escherichia	1025	86180	0.011893710837781388
Staphylococcus	Klebsiella	435	86180	0.005047574843351126
Staphylococcus	Pseudomonas	36	86180	0.0004177303318635414
Staphylococcus	Mycobacterium	4	86180	4.6414481318171266e-05
Streptococcus	Streptococcus	2572883	4349270	0.5915666307219373
Streptococcus	Staphylococcus	724395	4349270	0.16655553690619346
Streptococcus	Acinetobacter	484639	4349270	0.11142996410891942
Streptococcus	Listeria	412398	4349270	0.09482005026130821
Streptococcus	Escherichia	61646	4349270	0.01417387285682425
Streptococcus	Salmonella	53603	4349270	0.012324597001335856
Streptococcus	Klebsiella	29678	4349270	0.006823673857911787
Streptococcus	Pseudomonas	8452	4349270	0.0019433146252129667
Streptococcus	Mycobacterium	1576	4349270	0.0003623596603567955
