genome_id	genus	species	n_fragments
G36	Acinetobacter	baumannii	31905
G37	Acinetobacter	baumannii	31905
G38	Acinetobacter	baumannii	31039
G39	Acinetobacter	baumannii	31039
G40	Acinetobacter	baumannii	31808
G41	Acinetobacter	baumannii	31071
G42	Acinetobacter	baumannii	30910
G43	Acinetobacter	baumannii	32892
G53	Acinetobacter	baumannii	32762
G59	Acinetobacter	baumannii	32385
G91	Acinetobacter	baumannii	30798
G115	Escherichia	coli	36177
G127	Escherichia	coli	40758
G128	Escherichia	coli	39250
G46	Escherichia	coli	41077
G49	Escherichia	coli	43086
G55	Escherichia	coli	39523
G93	Escherichia	coli	41286
G96	Escherichia	coli	41287
G97	Escherichia	coli	42498
G98	Escherichia	coli	43225
G102	Klebsiella	pneumoniae	43587
G103	Klebsiella	pneumoniae	44084
G104	Klebsiella	pneumoniae	43034
G105	Klebsiella	pneumoniae	42935
G106	Klebsiella	pneumoniae	43423
G107	Klebsiella	pneumoniae	42803
G108	Klebsiella	pneumoniae	43634
G130	Klebsiella	pneumoniae	47827
G146	Klebsiella	pneumoniae	43961
G99	Klebsiella	pneumoniae	45788
G116	Listeria	monocytogenes	23601
G117	Listeria	monocytogenes	23318
G118	Listeria	monocytogenes	23601
G119	Listeria	monocytogenes	24224
G120	Listeria	monocytogenes	23601
G122	Listeria	monocytogenes	23562
G124	Listeria	monocytogenes	23601
G125	Listeria	monocytogenes	23562
G126	Listeria	monocytogenes	23601
G25	Listeria	monocytogenes	24990
G45	Listeria	monocytogenes	24201
G152	Mycobacterium	tuberculosis	35434
G153	Mycobacterium	tuberculosis	35531
G155	Mycobacterium	tuberculosis	35434
G156	Mycobacterium	tuberculosis	35310
G157	Mycobacterium	tuberculosis	35131
G158	Mycobacterium	tuberculosis	34946
G160	Mycobacterium	tuberculosis	35390
G161	Mycobacterium	tuberculosis	35288
G163	Mycobacterium	tuberculosis	35286
G32	Mycobacterium	tuberculosis	35292
G33	Mycobacterium	tuberculosis	35292
G109	Pseudomonas	aeruginosa	54233
G110	Pseudomonas	aeruginosa	54108
G114	Pseudomonas	aeruginosa	55479
G148	Pseudomonas	aeruginosa	55279
G82	Pseudomonas	aeruginosa	56634
G83	Pseudomonas	aeruginosa	50798
G84	Pseudomonas	aeruginosa	52533
G85	Pseudomonas	aeruginosa	50766
G87	Pseudomonas	aeruginosa	51125
G88	Pseudomonas	aeruginosa	50396
G89	Pseudomonas	aeruginosa	57542
G24	Salmonella	enterica	38432
G27	Salmonella	enterica	39077
G28	Salmonella	enterica	40843
G29	Salmonella	enterica	40109
G60	Salmonella	enterica	37772
G61	Salmonella	enterica	39007
G62	Salmonella	enterica	37865
G64	Salmonella	enterica	37084
G66	Salmonella	enterica	38597
G68	Salmonella	enterica	36884
G72	Salmonella	enterica	38732
G150	Staphylococcus	aureus	22664
G65	Staphylococcus	aureus	23057
G69	Staphylococcus	aureus	22924
G74	Staphylococcus	aureus	23066
G75	Staphylococcus	aureus	23088
G76	Staphylococcus	aureus	23038
G77	Staphylococcus	aureus	22458
G79	Staphylococcus	aureus	22336
G80	Staphylococcus	aureus	22542
G81	Staphylococcus	aureus	23134
G92	Staphylococcus	aureus	22456
G10	Streptococcus	agalactiae	18403
G11	Streptococcus	agalactiae	17619
G12	Streptococcus	agalactiae	18303
G13	Streptococcus	agalactiae	17811
G14	Streptococcus	agalactiae	18187
G22	Streptococcus	agalactiae	16271
G4	Streptococcus	agalactiae	16710
G6	Streptococcus	agalactiae	17818
G7	Streptococcus	agalactiae	18399
G8	Streptococcus	agalactiae	18748
G9	Streptococcus	agalactiae	17470
G151	Streptococcus	pneumoniae	17511
G16	Streptococcus	pneumoniae	16286
G17	Streptococcus	pneumoniae	16351
G18	Streptococcus	pneumoniae	16501
G20	Streptococcus	pneumoniae	17287
G21	Streptococcus	pneumoniae	17390
G23	Streptococcus	pneumoniae	16835
G47	Streptococcus	pneumoniae	16832
G51	Streptococcus	pneumoniae	17313
G54	Streptococcus	pneumoniae	17260
G58	Streptococcus	pneumoniae	17520
G132	Streptococcus	pyogenes	15254
G133	Streptococcus	pyogenes	15264
G134	Streptococcus	pyogenes	14920
G135	Streptococcus	pyogenes	14421
G136	Streptococcus	pyogenes	14679
G137	Streptococcus	pyogenes	14683
G138	Streptococcus	pyogenes	14738
G140	Streptococcus	pyogenes	15312
G142	Streptococcus	pyogenes	15065
G143	Streptococcus	pyogenes	15200
G145	Streptococcus	pyogenes	15368
