true_genus	predicted_genus	count
Klebsiella	Pseudomonas	284238
Klebsiella	Mycobacterium	72016
Streptococcus	Staphylococcus	49878
Klebsiella	Streptococcus	47001
Klebsiella	Salmonella	38727
Klebsiella	Staphylococcus	33927
Klebsiella	Escherichia	31308
Escherichia	Streptococcus	29616
Streptococcus	Listeria	26789
Klebsiella	Listeria	23518
Klebsiella	Acinetobacter	22741
Streptococcus	Acinetobacter	22518
Escherichia	Staphylococcus	20578
Escherichia	Klebsiella	13565
Escherichia	Acinetobacter	12906
Escherichia	Listeria	11842
Acinetobacter	Streptococcus	11739
Acinetobacter	Staphylococcus	11601
Escherichia	Salmonella	10827
Listeria	Staphylococcus	8447
Listeria	Streptococcus	7808
Escherichia	Pseudomonas	7384
Pseudomonas	Streptococcus	6149
Pseudomonas	Mycobacterium	5420
Pseudomonas	Klebsiella	4457
Escherichia	Mycobacterium	4015
Salmonella	Streptococcus	3637
Listeria	Acinetobacter	3495
Acinetobacter	Listeria	3492
Pseudomonas	Escherichia	3321
Salmonella	Escherichia	2499
Pseudomonas	Salmonella	2475
Salmonella	Klebsiella	2212
Salmonella	Staphylococcus	2086
Staphylococcus	Acinetobacter	1988
Pseudomonas	Listeria	1841
Staphylococcus	Streptococcus	1748
Salmonella	Listeria	1470
Pseudomonas	Acinetobacter	1422
Pseudomonas	Staphylococcus	1398
Salmonella	Acinetobacter	1371
Salmonella	Pseudomonas	1349
Streptococcus	Escherichia	743
Salmonella	Mycobacterium	597
Staphylococcus	Listeria	532
Acinetobacter	Escherichia	466
Streptococcus	Salmonella	452
Streptococcus	Klebsiella	316
Listeria	Escherichia	238
Acinetobacter	Salmonella	210
Listeria	Salmonella	137
Acinetobacter	Klebsiella	112
Streptococcus	Pseudomonas	102
Listeria	Klebsiella	90
Streptococcus	Mycobacterium	57
Listeria	Mycobacterium	43
Listeria	Pseudomonas	32
Acinetobacter	Mycobacterium	27
Mycobacterium	Pseudomonas	26
Acinetobacter	Pseudomonas	22
Mycobacterium	Streptococcus	16
Staphylococcus	Escherichia	9
Staphylococcus	Salmonella	8
Staphylococcus	Klebsiella	3
Mycobacterium	Staphylococcus	3
Mycobacterium	Salmonella	2
Mycobacterium	Klebsiella	2
Mycobacterium	Acinetobacter	2
Mycobacterium	Escherichia	1
